bug_id,bug_precision,bug_recall,bug_f1,fix_precision,fix_recall,fix_f1,bug_score,fix_score,code_status
1,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.2,0.3333333333333333,0.25,0.26666666666666666,0.25,notpass
2,1.0,1.0,1.0,1.0,0.8,0.888888888888889,1.0,0.888888888888889,notpass
3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,not_compilable
4,0.22916666666666666,0.6875,0.34375,0.22916666666666666,0.6875,0.34375,0.34375,0.34375,notpass
5,0.8902439024390244,0.9733333333333334,0.9299363057324841,0.9420289855072463,0.9558823529411765,0.9489051094890512,0.9299363057324841,0.9489051094890512,pass
6,0.3333333333333333,0.25,0.28571428571428575,0.0,0.0,0.0,0.28571428571428575,0.0,not_compilable
7,0.875,1.0,0.9333333333333333,0.4,0.7142857142857143,0.5128205128205129,0.9333333333333333,0.5128205128205129,notpass
8,0.1,0.16666666666666666,0.125,0.1,0.125,0.11111111111111112,0.125,0.11111111111111112,pass
9,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,not_compilable
10,0.8421052631578947,0.9411764705882353,0.8888888888888888,0.0,0.0,0.0,0.8888888888888888,0.0,not_compilable
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,notpass
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,notpass
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
16,0.7619047619047619,0.5714285714285714,0.6530612244897959,0.76,0.6129032258064516,0.6785714285714285,0.6530612244897959,0.6785714285714285,notpass
17,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,1.0,0.8571428571428571,pass
18,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,not_compilable
