bug_id,bug_precision,bug_recall,bug_f1,fix_precision,fix_recall,fix_f1,bug_score,fix_score,code_status
1,1.0,1.0,1.0,1.0,0.9285714285714286,0.962962962962963,1.0,0.962962962962963,pass
2,0.8529411764705882,0.9354838709677419,0.8923076923076922,0.9821428571428571,0.9649122807017544,0.9734513274336283,0.8923076923076922,0.9734513274336283,pass
3,1.0,0.9166666666666666,0.9565217391304348,1.0,0.9285714285714286,0.962962962962963,0.9565217391304348,0.962962962962963,pass
4,0.6923076923076923,0.972972972972973,0.8089887640449438,0.8,0.975609756097561,0.8791208791208791,0.8089887640449438,0.8791208791208791,pass
5,1.0,1.0,1.0,1.0,0.9375,0.967741935483871,1.0,0.967741935483871,pass
6,0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,notpass
7,1.0,0.8653846153846154,0.9278350515463918,1.0,0.8653846153846154,0.9278350515463918,0.9278350515463918,0.9278350515463918,pass
8,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,pass
9,0.8666666666666667,1.0,0.9285714285714286,1.0,1.0,1.0,0.9285714285714286,1.0,pass
10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
11,1.0,0.9473684210526315,0.972972972972973,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.972972972972973,0.9629629629629629,pass
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
13,0.7619047619047619,1.0,0.8648648648648648,0.7619047619047619,1.0,0.8648648648648648,0.8648648648648648,0.8648648648648648,notpass
14,0.7142857142857143,1.0,0.8333333333333333,1.0,1.0,1.0,0.8333333333333333,1.0,pass
15,0.5,1.0,0.6666666666666666,0.4444444444444444,1.0,0.6153846153846153,0.6666666666666666,0.6153846153846153,notpass
16,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.0,0.5,notpass
17,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,notpass
18,1.0,1.0,1.0,0.7368421052631579,1.0,0.8484848484848484,1.0,0.8484848484848484,notpass
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
20,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,0.8,0.8,0.8,pass
21,1.0,0.9333333333333333,0.9655172413793104,1.0,0.9629629629629629,0.9811320754716981,0.9655172413793104,0.9811320754716981,pass
22,0.8181818181818182,0.9,0.8571428571428572,0.7115384615384616,0.9487179487179487,0.8131868131868132,0.8571428571428572,0.8131868131868132,pass
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,notpass
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,pass
25,0.6842105263157895,1.0,0.8125000000000001,0.7058823529411765,0.7272727272727273,0.7164179104477613,0.8125000000000001,0.7164179104477613,pass
26,0.6190476190476191,0.6046511627906976,0.611764705882353,1.0,0.6721311475409836,0.8039215686274509,0.611764705882353,0.8039215686274509,pass
