project,bug_id,folder,class_entry,file,method_sig_snippet,buggy_method_start_line,buggy_method_end_line,changed_buggy_lines
Collections,1,Collections-1-buggy,org.apache.commons.collections.map.Flat3Map,org/apache/commons/collections/map/Flat3Map.java,public Object setValue(Object value) {,646,660,[]
Collections,1,Collections-1-buggy,org.apache.commons.collections.map.Flat3Map,org/apache/commons/collections/map/Flat3Map.java,public Object setValue(Object value) {,798,812,[]
Collections,11,Collections-11-buggy,org.apache.commons.collections.keyvalue.MultiKey,org/apache/commons/collections/keyvalue/MultiKey.java,private void calculateHashCode(Object[] keys),258,267,[]
Collections,12,Collections-12-buggy,org.apache.commons.collections.ExtendedProperties,org/apache/commons/collections/ExtendedProperties.java,public void combine(ExtendedProperties props) {,820,825,[823]
Collections,13,Collections-13-buggy,org.apache.commons.collections.ExtendedProperties,org/apache/commons/collections/ExtendedProperties.java,public static ExtendedProperties convertProperties(Properties props) {,1719,1728,[1724]
Collections,14,Collections-14-buggy,org.apache.commons.collections.map.CaseInsensitiveMap,org/apache/commons/collections/map/CaseInsensitiveMap.java,protected Object convertKey(Object key) {,119,125,[121]
Collections,15,Collections-15-buggy,org.apache.commons.collections.list.SetUniqueList,org/apache/commons/collections/list/SetUniqueList.java,"public Object set(int index, Object object) {",220,234,"[224, 227, 230]"
Collections,16,Collections-16-buggy,org.apache.commons.collections.list.SetUniqueList,org/apache/commons/collections/list/SetUniqueList.java,"public List subList(int fromIndex, int toIndex) {",285,287,[286]
Collections,17,Collections-17-buggy,org.apache.commons.collections.functors.EqualPredicate,org/apache/commons/collections/functors/EqualPredicate.java,public EqualPredicate(T object) {,81,85,[84]
Collections,17,Collections-17-buggy,org.apache.commons.collections.functors.EqualPredicate,org/apache/commons/collections/functors/EqualPredicate.java,public boolean evaluate(T object) {,107,109,[]
Collections,18,Collections-18-buggy,org.apache.commons.collections.set.ListOrderedSet,org/apache/commons/collections/set/ListOrderedSet.java,public boolean retainAll(Collection<?> coll) {,228,243,"[229, 230, 233, 234, 236, 237, 242]"
Collections,19,Collections-19-buggy,org.apache.commons.collections.list.SetUniqueList,org/apache/commons/collections/list/SetUniqueList.java,"public E set(final int index, final E object) {",227,239,"[236, 237]"
Collections,2,Collections-2-buggy,org.apache.commons.collections.ExtendedProperties,org/apache/commons/collections/ExtendedProperties.java,public String getInclude() {,512,514,[]
Collections,2,Collections-2-buggy,org.apache.commons.collections.ExtendedProperties,org/apache/commons/collections/ExtendedProperties.java,public void setInclude(String inc) {,527,529,[528]
Collections,2,Collections-2-buggy,org.apache.commons.collections.ExtendedProperties,org/apache/commons/collections/ExtendedProperties.java,"public synchronized void load(InputStream input, String enc) throws IOException {",549,619,[588]
Collections,20,Collections-20-buggy,org.apache.commons.collections.list.TreeList,org/apache/commons/collections/list/TreeList.java,public void remove() {,898,916,"[903, 904, 906, 908]"
Collections,21,Collections-21-buggy,org.apache.commons.collections4.list.SetUniqueList,org/apache/commons/collections4/list/SetUniqueList.java,"public List<E> subList(final int fromIndex, final int toIndex) {",329,333,[332]
Collections,22,Collections-22-buggy,org.apache.commons.collections4.map.ListOrderedMap,org/apache/commons/collections4/map/ListOrderedMap.java,"public void putAll(int index, final Map<? extends K, ? extends V> map) {",244,257,"[246, 247]"
Collections,23,Collections-23-buggy,org.apache.commons.collections4.trie.UnmodifiableTrie,org/apache/commons/collections4/trie/UnmodifiableTrie.java,"public static <K, V> UnmodifiableTrie<K, V> unmodifiableTrie(final Trie<K, ? extends V> trie) {",54,56,[54]
Collections,24,Collections-24-buggy,org.apache.commons.collections4.collection.UnmodifiableBoundedCollection,org/apache/commons/collections4/collection/UnmodifiableBoundedCollection.java,public static <E> BoundedCollection<E> unmodifiableBoundedCollection(final BoundedCollection<? extends E> coll) {,57,59,[]
Collections,25,Collections-25-buggy,org.apache.commons.collections4.IteratorUtils,org/apache/commons/collections4/IteratorUtils.java,"public static <E> Iterator<E> collatedIterator(final Comparator<? super E> comparator, final Iterator<? extends E> iterator1, final Iterator<? extends E> iterator2) {",602,606,[605]
Collections,25,Collections-25-buggy,org.apache.commons.collections4.IteratorUtils,org/apache/commons/collections4/IteratorUtils.java,"public static <E> Iterator<E> collatedIterator(final Comparator<? super E> comparator, final Iterator<? extends E>... iterators) {",624,627,[626]
Collections,25,Collections-25-buggy,org.apache.commons.collections4.IteratorUtils,org/apache/commons/collections4/IteratorUtils.java,"public static <E> Iterator<E> collatedIterator(final Comparator<? super E> comparator, final Collection<Iterator<? extends E>> iterators) {",646,649,[648]
Collections,26,Collections-26-buggy,org.apache.commons.collections4.keyvalue.MultiKey,org/apache/commons/collections4/keyvalue/MultiKey.java,private Object readResolve() {,277,280,[277]
Collections,27,Collections-27-buggy,org.apache.commons.collections4.map.MultiValueMap,org/apache/commons/collections4/map/MultiValueMap.java,public T create() {,560,566,[]
Collections,28,Collections-28-buggy,org.apache.commons.collections4.trie.AbstractPatriciaTrie,org/apache/commons/collections4/trie/AbstractPatriciaTrie.java,"protected SortedMap<K, V> createRangeMap(final K fromKey, final boolean fromInclusive, final K toKey, final boolean toInclusive) {",2257,2260,[]
Collections,3,Collections-3-buggy,org.apache.commons.collections.CollectionUtils,org/apache/commons/collections/CollectionUtils.java,"public static Collection removeAll(Collection collection, Collection remove) {",1120,1122,[1121]
Collections,4,Collections-4-buggy,org.apache.commons.collections.map.MultiValueMap,org/apache/commons/collections/map/MultiValueMap.java,"public Object put(Object key, Object value) {",204,219,"[209, 213]"
