project,bug_id,folder,class_entry,file,method_sig_snippet,buggy_method_start_line,buggy_method_end_line,changed_buggy_lines
Gson,1,Gson-1-buggy,com.google.gson.TypeInfoFactory,com/google/gson/TypeInfoFactory.java,"private static Type getActualType( Type typeToEvaluate, Type parentType, Class<?> rawParentClass) {",58,107,[]
Gson,10,Gson-10-buggy,com.google.gson.internal.bind.ReflectiveTypeAdapterFactory,com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java,"private ReflectiveTypeAdapterFactory.BoundField createBoundField( final Gson context, final Field field, final String name, final TypeToken<?> fieldType, boolean serialize, boolean deserialize) {",103,139,"[122, 123]"
Gson,11,Gson-11-buggy,com.google.gson.internal.bind.TypeAdapters,com/google/gson/internal/bind/TypeAdapters.java,public Number read(JsonReader in) throws IOException {,364,375,[]
Gson,12,Gson-12-buggy,com.google.gson.internal.bind.JsonTreeReader,com/google/gson/internal/bind/JsonTreeReader.java,private void expect(JsonToken expected) throws IOException {,159,164,[]
Gson,13,Gson-13-buggy,com.google.gson.stream.JsonReader,com/google/gson/stream/JsonReader.java,private int peekNumber() throws IOException {,641,742,[731]
Gson,14,Gson-14-buggy,com.google.gson.internal.$Gson$Types,com/google/gson/internal/$Gson$Types.java,public static WildcardType subtypeOf(Type bound) {,77,81,[]
Gson,14,Gson-14-buggy,com.google.gson.internal.$Gson$Types,com/google/gson/internal/$Gson$Types.java,public static WildcardType supertypeOf(Type bound) {,88,92,[]
Gson,15,Gson-15-buggy,com.google.gson.stream.JsonWriter,com/google/gson/stream/JsonWriter.java,public JsonWriter value(double value) throws IOException {,493,501,[495]
Gson,16,Gson-16-buggy,com.google.gson.internal.$Gson$Types,com/google/gson/internal/$Gson$Types.java,"private static Type resolve(Type context, Class<?> contextRawType, Type toResolve, Collection<TypeVariable> visitedTypeVariables) {",336,408,[]
Gson,17,Gson-17-buggy,com.google.gson.DefaultDateTypeAdapter,com/google/gson/DefaultDateTypeAdapter.java,public Date read(JsonReader in) throws IOException {,98,113,"[99, 100]"
Gson,18,Gson-18-buggy,com.google.gson.internal.$Gson$Types,com/google/gson/internal/$Gson$Types.java,"static Type getSupertype(Type context, Class<?> contextRawType, Class<?> supertype) {",277,282,[]
Gson,2,Gson-2-buggy,com.google.gson.internal.bind.TypeAdapters,com/google/gson/internal/bind/TypeAdapters.java,"public static <T1> TypeAdapterFactory newTypeHierarchyFactory( final Class<T1> clazz, final TypeAdapter<T1> typeAdapter) {",824,840,[833]
Gson,3,Gson-3-buggy,com.google.gson.internal.ConstructorConstructor,com/google/gson/internal/ConstructorConstructor.java,"private <T> ObjectConstructor<T> newDefaultImplementationConstructor( final Type type, Class<? super T> rawType) {",128,198,[175]
Gson,4,Gson-4-buggy,com.google.gson.stream.JsonReader,com/google/gson/stream/JsonReader.java,int doPeek() throws IOException {,465,605,"[574, 575, 576, 585, 586, 587]"
Gson,4,Gson-4-buggy,com.google.gson.stream.JsonWriter,com/google/gson/stream/JsonWriter.java,"private JsonWriter open(int empty, String openBracket) throws IOException {",324,329,[325]
Gson,4,Gson-4-buggy,com.google.gson.stream.JsonWriter,com/google/gson/stream/JsonWriter.java,public JsonWriter value(String value) throws IOException {,413,421,[418]
Gson,4,Gson-4-buggy,com.google.gson.stream.JsonWriter,com/google/gson/stream/JsonWriter.java,public JsonWriter jsonValue(String value) throws IOException {,430,438,[435]
Gson,4,Gson-4-buggy,com.google.gson.stream.JsonWriter,com/google/gson/stream/JsonWriter.java,public JsonWriter nullValue() throws IOException {,445,457,[454]
Gson,4,Gson-4-buggy,com.google.gson.stream.JsonWriter,com/google/gson/stream/JsonWriter.java,public JsonWriter value(boolean value) throws IOException {,464,469,[466]
Gson,4,Gson-4-buggy,com.google.gson.stream.JsonWriter,com/google/gson/stream/JsonWriter.java,public JsonWriter value(double value) throws IOException {,478,486,[483]
Gson,4,Gson-4-buggy,com.google.gson.stream.JsonWriter,com/google/gson/stream/JsonWriter.java,public JsonWriter value(long value) throws IOException {,493,498,[495]
Gson,4,Gson-4-buggy,com.google.gson.stream.JsonWriter,com/google/gson/stream/JsonWriter.java,public JsonWriter value(Number value) throws IOException {,507,521,[518]
Gson,4,Gson-4-buggy,com.google.gson.stream.JsonWriter,com/google/gson/stream/JsonWriter.java,private void beforeValue(boolean root) throws IOException {,613,647,"[613, 622, 623, 624, 625]"
Gson,5,Gson-5-buggy,com.google.gson.internal.bind.util.ISO8601Utils,com/google/gson/internal/bind/util/ISO8601Utils.java,"public static Date parse(String date, ParsePosition pos) throws ParseException {",123,276,[]
Gson,6,Gson-6-buggy,com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory,com/google/gson/internal/bind/JsonAdapterAnnotationTypeAdapterFactory.java,"static TypeAdapter<?> getTypeAdapter(ConstructorConstructor constructorConstructor, Gson gson, TypeToken<?> fieldType, JsonAdapter annotation) {",51,69,[]
Gson,7,Gson-7-buggy,com.google.gson.stream.JsonReader,com/google/gson/stream/JsonReader.java,public long nextLong() throws IOException {,939,980,[954]
Gson,7,Gson-7-buggy,com.google.gson.stream.JsonReader,com/google/gson/stream/JsonReader.java,public int nextInt() throws IOException {,1161,1208,[1182]
Gson,8,Gson-8-buggy,com.google.gson.internal.UnsafeAllocator,com/google/gson/internal/UnsafeAllocator.java,public static UnsafeAllocator create() {,33,103,[]
Gson,9,Gson-9-buggy,com.google.gson.internal.bind.JsonTreeWriter,com/google/gson/internal/bind/JsonTreeWriter.java,private void put(JsonElement value) {,75,92,[]
