project,bug_id,folder,class_entry,file,method_sig_snippet,buggy_method_start_line,buggy_method_end_line,changed_buggy_lines
Time,1,Time-1-buggy,org.joda.time.field.UnsupportedDurationField,org/joda/time/field/UnsupportedDurationField.java,public int compareTo(DurationField durationField) {,226,231,"[227, 228, 229]"
Time,1,Time-1-buggy,org.joda.time.Partial,org/joda/time/Partial.java,"public Partial(DateTimeFieldType[] types, int[] values, Chronology chronology) {",189,251,[221]
Time,10,Time-10-buggy,org.joda.time.base.BaseSingleFieldPeriod,org/joda/time/base/BaseSingleFieldPeriod.java,"protected static int between(ReadablePartial start, ReadablePartial end, ReadablePeriod zeroInstance) {",88,106,[104]
Time,12,Time-12-buggy,org.joda.time.LocalDate,org/joda/time/LocalDate.java,public static LocalDate fromCalendarFields(Calendar calendar) {,206,216,[212]
Time,12,Time-12-buggy,org.joda.time.LocalDate,org/joda/time/LocalDate.java,public static LocalDate fromDateFields(Date date) {,239,249,[]
Time,12,Time-12-buggy,org.joda.time.LocalDateTime,org/joda/time/LocalDateTime.java,public static LocalDateTime fromCalendarFields(Calendar calendar) {,195,209,[201]
Time,12,Time-12-buggy,org.joda.time.LocalDateTime,org/joda/time/LocalDateTime.java,public static LocalDateTime fromDateFields(Date date) {,232,246,[]
Time,13,Time-13-buggy,org.joda.time.format.PeriodFormatterBuilder,org/joda/time/format/PeriodFormatterBuilder.java,"public int calculatePrintedLength(ReadablePeriod period, Locale locale) {",1088,1118,[1098]
Time,13,Time-13-buggy,org.joda.time.format.PeriodFormatterBuilder,org/joda/time/format/PeriodFormatterBuilder.java,"public void printTo(StringBuffer buf, ReadablePeriod period, Locale locale) {",1120,1149,[]
Time,14,Time-14-buggy,org.joda.time.chrono.BasicMonthOfYearDateTimeField,org/joda/time/chrono/BasicMonthOfYearDateTimeField.java,"public int[] add(ReadablePartial partial, int fieldIndex, int[] values, int valueToAdd) {",203,220,[]
Time,15,Time-15-buggy,org.joda.time.field.FieldUtils,org/joda/time/field/FieldUtils.java,"public static long safeMultiply(long val1, int val2) {",135,149,[]
Time,16,Time-16-buggy,org.joda.time.format.DateTimeFormatter,org/joda/time/format/DateTimeFormatter.java,"public int parseInto(ReadWritableInstant instant, String text, int position) {",697,724,[709]
Time,17,Time-17-buggy,org.joda.time.DateTimeZone,org/joda/time/DateTimeZone.java,"public long adjustOffset(long instant, boolean earlierOrLater) {",1163,1180,"[1167, 1168, 1169, 1174, 1175]"
Time,18,Time-18-buggy,org.joda.time.chrono.GJChronology,org/joda/time/chrono/GJChronology.java,"public long getDateTimeMillis(int year, int monthOfYear, int dayOfMonth, int hourOfDay, int minuteOfHour, int secondOfMinute, int millisOfSecond)",350,378,[]
Time,19,Time-19-buggy,org.joda.time.DateTimeZone,org/joda/time/DateTimeZone.java,public int getOffsetFromLocal(long instantLocal) {,880,911,[900]
Time,2,Time-2-buggy,org.joda.time.field.UnsupportedDurationField,org/joda/time/field/UnsupportedDurationField.java,public int compareTo(DurationField durationField) {,226,228,[]
Time,2,Time-2-buggy,org.joda.time.Partial,org/joda/time/Partial.java,"public Partial(DateTimeFieldType[] types, int[] values, Chronology chronology) {",189,251,[218]
Time,2,Time-2-buggy,org.joda.time.Partial,org/joda/time/Partial.java,"public Partial with(DateTimeFieldType fieldType, int value) {",428,476,[]
Time,20,Time-20-buggy,org.joda.time.format.DateTimeFormatterBuilder,org/joda/time/format/DateTimeFormatterBuilder.java,"public int parseInto(DateTimeParserBucket bucket, String text, int position) {",2540,2549,"[2544, 2545]"
Time,22,Time-22-buggy,org.joda.time.base.BasePeriod,org/joda/time/base/BasePeriod.java,protected BasePeriod(long duration) {,221,224,[222]
Time,23,Time-23-buggy,org.joda.time.DateTimeZone,org/joda/time/DateTimeZone.java,private static synchronized String getConvertedId(String id) {,558,598,"[572, 575, 577, 578, 581, 583, 586, 588]"
Time,24,Time-24-buggy,org.joda.time.format.DateTimeParserBucket,org/joda/time/format/DateTimeParserBucket.java,"public long computeMillis(boolean resetFields, String text) {",331,378,[]
Time,25,Time-25-buggy,org.joda.time.DateTimeZone,org/joda/time/DateTimeZone.java,public int getOffsetFromLocal(long instantLocal) {,879,901,[]
Time,26,Time-26-buggy,org.joda.time.chrono.ZonedChronology,org/joda/time/chrono/ZonedChronology.java,"public long add(long instant, int value) {",428,438,[436]
Time,26,Time-26-buggy,org.joda.time.chrono.ZonedChronology,org/joda/time/chrono/ZonedChronology.java,"public long add(long instant, long value) {",440,450,[448]
Time,26,Time-26-buggy,org.joda.time.chrono.ZonedChronology,org/joda/time/chrono/ZonedChronology.java,"public long addWrapField(long instant, int value) {",452,462,[460]
Time,26,Time-26-buggy,org.joda.time.chrono.ZonedChronology,org/joda/time/chrono/ZonedChronology.java,"public long set(long instant, int value) {",464,475,[467]
Time,26,Time-26-buggy,org.joda.time.chrono.ZonedChronology,org/joda/time/chrono/ZonedChronology.java,"public long set(long instant, String text, Locale locale) {",477,482,[481]
Time,26,Time-26-buggy,org.joda.time.chrono.ZonedChronology,org/joda/time/chrono/ZonedChronology.java,public long roundFloor(long instant) {,520,530,[528]
Time,26,Time-26-buggy,org.joda.time.chrono.ZonedChronology,org/joda/time/chrono/ZonedChronology.java,public long roundCeiling(long instant) {,532,542,[540]
Time,26,Time-26-buggy,org.joda.time.DateTimeZone,org/joda/time/DateTimeZone.java,public long convertUTCToLocal(long instantUTC) {,909,917,[]
Time,26,Time-26-buggy,org.joda.time.field.LenientDateTimeField,org/joda/time/field/LenientDateTimeField.java,"public long set(long instant, int value) {",69,76,[75]
Time,27,Time-27-buggy,org.joda.time.format.PeriodFormatterBuilder,org/joda/time/format/PeriodFormatterBuilder.java,"private static PeriodFormatter toFormatter(List<Object> elementPairs, boolean notPrinter, boolean notParser) {",794,813,[]
Time,3,Time-3-buggy,org.joda.time.MutableDateTime,org/joda/time/MutableDateTime.java,"public void add(DurationFieldType type, int amount) {",635,640,[]
Time,3,Time-3-buggy,org.joda.time.MutableDateTime,org/joda/time/MutableDateTime.java,public void addYears(final int years) {,659,661,[]
Time,3,Time-3-buggy,org.joda.time.MutableDateTime,org/joda/time/MutableDateTime.java,public void addWeekyears(final int weekyears) {,680,682,[]
Time,3,Time-3-buggy,org.joda.time.MutableDateTime,org/joda/time/MutableDateTime.java,public void addMonths(final int months) {,701,703,[]
Time,3,Time-3-buggy,org.joda.time.MutableDateTime,org/joda/time/MutableDateTime.java,public void addWeeks(final int weeks) {,722,724,[]
Time,3,Time-3-buggy,org.joda.time.MutableDateTime,org/joda/time/MutableDateTime.java,public void addDays(final int days) {,763,765,[]
Time,3,Time-3-buggy,org.joda.time.MutableDateTime,org/joda/time/MutableDateTime.java,public void addHours(final int hours) {,784,786,[]
Time,3,Time-3-buggy,org.joda.time.MutableDateTime,org/joda/time/MutableDateTime.java,public void addMinutes(final int minutes) {,815,817,[]
Time,3,Time-3-buggy,org.joda.time.MutableDateTime,org/joda/time/MutableDateTime.java,public void addSeconds(final int seconds) {,846,848,[]
